entry_date,exit_date,entry_price,exit_price,underlying_return,lower_strike,upper_strike,spread_cost,payoff,pl,roi,volatility
2014-06-09,2014-06-30,1252.08,1327.5,6.023576768257621,1227.0384,1289.6424,27.077922005695115,62.60400000000004,35.52607799430493,131.1994250771273,0.09941156045384274
2014-07-08,2014-07-29,1318.95,1298.75,-1.53152128587134,1292.571,1358.5185000000001,29.119145371586995,6.179000000000087,-22.940145371586908,-78.7802838264984,0.12960836074906532
2014-08-06,2014-08-27,1306.25,1282.95,-1.7837320574162652,1280.125,1345.4375,29.074747678690414,2.8250000000000455,-26.24974767869037,-90.28366460400771,0.14460405044187194
2014-09-04,2014-09-25,1261.1,1222.62,-3.0513044167789993,1235.878,1298.933,26.96292850197065,0.0,-26.96292850197065,-100.0,0.08518757439032495
2014-10-03,2014-10-24,1191.2,1231.46,3.3797850906648774,1167.376,1226.9360000000001,25.7459167992442,59.56000000000017,33.814083200755974,131.33765429455838,0.09864211510515089
2014-11-03,2014-11-24,1165.35,1197.4,2.7502467069979053,1142.043,1200.3105,25.668363128438926,55.3570000000002,29.688636871561272,115.66236897540279,0.1257412002950878
2014-12-02,2014-12-23,1199.01,1175.6801,-1.9457635882936697,1175.0298,1234.9803,27.55376395130253,0.6503000000000156,-26.903463951302513,-97.63988687299009,0.255762347062525
2015-01-01,2015-01-22,1181.97,1301.73,10.132236858803513,1158.3306,1217.4291,26.758186050552013,59.09850000000006,32.340313949448046,120.86138383353111,0.18712324197385816
2015-01-30,2015-02-20,1283.55,1202.39,-6.323088309765867,1257.879,1322.0565,29.022910821059043,0.0,-29.022910821059043,-100.0,0.1833458372037714
2015-03-02,2015-03-23,1207.1,1189.3,-1.474608565984592,1182.9579999999999,1243.3129999999999,26.710078730339006,6.342000000000098,-20.368078730338908,-76.25615385103133,0.1335301905932396
2015-03-31,2015-04-21,1183.5,1202.6801,1.620625264047315,1159.83,1219.005,26.229126708457642,42.85010000000011,16.62097329154247,63.36838231896984,0.13636211029300516
2015-04-29,2015-05-20,1204.8,1209.28,0.3718459495351878,1180.704,1240.944,26.65299254414535,28.576000000000022,1.9230074558546733,7.2149776527704965,0.1331194329149833
2015-05-28,2015-06-18,1188.45,1201.42,1.091337456350705,1164.681,1224.1035000000002,26.099249453759683,36.73900000000003,10.63975054624035,40.76650006771616,0.12099234569262957
2015-06-26,2015-07-17,1175.0699,1134.1,-3.486592584832615,1151.5685019999999,1210.321997,25.27770643565492,0.0,-25.27770643565492,-100.0,0.09268691963505007
2015-07-27,2015-08-17,1094.42,1117.66,2.123499205058388,1072.5316,1127.2526,24.22096108493065,45.128400000000056,20.907438915069406,86.31960904341327,0.13383845986374507
2015-08-25,2015-09-15,1140.65,1105.4,-3.090343225353964,1117.837,1174.8695,25.167351345691117,0.0,-25.167351345691117,-100.0,0.12857623733116064
2015-09-23,2015-10-14,1130.4,1185.1899,4.84694798301486,1107.7920000000001,1164.3120000000001,24.58370467850233,56.51999999999998,31.936295321497653,129.90839151035252,0.10683481398649018
2015-10-22,2015-11-12,1166.05,1085.05,-6.946528879550618,1142.729,1201.0315,25.975552520670533,0.0,-25.975552520670533,-100.0,0.14626678245462083
2015-11-20,2015-12-11,1078.1,1074.89,-0.297746034690638,1056.5379999999998,1110.443,23.29337552904316,18.352000000000317,-4.941375529042844,-21.21365159326835,0.09819835950114283
2015-12-21,2016-01-11,1078.4399,1094.26,1.4669431277533285,1056.871102,1110.7930970000002,24.31435067336227,37.38889799999993,13.074547326637656,53.77296520182854,0.17482470915407042
2016-01-19,2016-02-09,1087.12,1188.85,9.35775259400986,1065.3775999999998,1119.7336,23.956511296816075,54.35600000000022,30.399488703184147,126.89447276584205,0.12651209464512328
2016-02-17,2016-03-09,1209.14,1252.9399,3.622401045371082,1184.9572,1245.4142000000002,27.506445305888178,60.45700000000011,32.95055469411193,119.79212263773813,0.20422211746462396
2016-03-17,2016-04-07,1257.9,1240.6899,-1.3681612210827532,1232.742,1295.6370000000002,28.462291370548883,7.947900000000118,-20.514391370548765,-72.0756846434924,0.18546499930877836
2016-04-15,2016-05-06,1234.05,1288.7,4.428507759004918,1209.369,1271.0715,27.78790819115784,61.7025000000001,33.91459180884226,122.04802022353715,0.17138823420897567
2016-05-16,2016-06-06,1273.86,1245.24,-2.2467147096227102,1248.3827999999999,1312.0757999999998,28.55535637564256,0.0,-28.55535637564256,-100.0,0.16000545068464972
2016-06-14,2016-07-05,1285.85,1356.14,5.466422988684538,1260.1329999999998,1324.4254999999998,28.794294246581927,64.29250000000002,35.49820575341809,123.28208307321844,0.15758224684042307
2016-07-13,2016-08-03,1342.85,1357.9,1.1207506422906688,1315.993,1383.1354999999999,30.709779255453725,41.90700000000015,11.197220744546428,36.46141722936,0.22741657918602987
2016-08-11,2016-09-01,1338.87,1313.79,-1.8732214479374343,1312.0926,1379.0361,29.569725395017457,1.697400000000016,-27.87232539501744,-94.25966938372031,0.13023100765402168
2016-09-09,2016-09-30,1328.15,1315.96,-0.9178180175432038,1301.587,1367.9945,28.79510529836881,14.373000000000047,-14.422105298368763,-50.08526674561509,0.10268251973216294
2016-10-10,2016-10-31,1259.74,1277.38,1.4002889485131842,1234.5452,1297.5322,28.02851971016827,42.83480000000009,14.806280289831818,52.825766194353655,0.1438230984615381
2016-11-08,2016-11-29,1275.64,1188.46,-6.834216550123862,1250.1272000000001,1313.9092,27.557998746611275,0.0,-27.557998746611275,-100.0,0.09803971170238888
2016-12-07,2016-12-28,1174.0,1142.45,-2.687393526405446,1150.52,1209.22,26.087111415620825,0.0,-26.087111415620825,-100.0,0.14129695736115588
2017-01-05,2017-01-26,1180.48,1188.5699,0.6853059772296,1156.8704,1215.8944000000001,25.935454547203875,31.699499999999944,5.7640454527960685,22.224578490826936,0.12166836100882893
2017-02-03,2017-02-24,1219.88,1256.9399,3.03799554054498,1195.4824,1256.4764000000002,26.397162755696925,60.99400000000014,34.59683724430322,131.06271141521327,0.10017692617377075
